001*;USA oder Kanada
0049 33874*;Stechow Brandenb
0049 33875*;Rhinow
0049 33876*;Buschow
0049 33877*;Nitzahn
0049 33878*;Nennhausen
0049 3391*;Neuruppin
0049 33920*;Walsleben b. Neuruppin
0049 33921*;Zechlinerhütte
0049 33922*;Karwesee
0049 33923*;Flecken Zechlin
0049 33924*;Rägelin
0049 33925*;Wustrau-Altfriesack
0049 33926*;Herzberg b. Neuruppin
0049 33928*;Wildberg Brandenb
0049 33929*;Gühlen Glienicke
0049 33931*;Rheinsberg Mark
0049 33932*;Fehrbellin
0049 33933*;Lindow Mark
0049 3394*;Wittstock Dosse
0049 3395*;Pritzwalk
0049 33962*;Heiligengrabe
0049 33963*;Wulfersdorf b. Wittstock
0049 33964*;Fretzdorf
0049 33965*;Herzsprung b. Wittstock
0049 33966*;Dranse
0049 33967*;Freyenstein
0049 33968*;Meyenburg Kr. Prignitz
0049 33969*;Stepenitz
0049 33970*;Neustadt Dosse
0049 33971*;Kyritz Brandenb
0049 33972*;Breddin
0049 33973*;Zernitz Kr. Prignitz
0049 33974*;Dessow
0049 33975*;Dannenwalde Kr. Prignitz
0049 33976*;Wutike
0049 33977*;Gumtow
0049 33978*;Segeletz
0049 33979*;Wusterhausen Dosse
0049 33981*;Putlitz
0049 33982*;Hoppenrade Kr. Prignitz
0049 33983*;Groß Pankow Kr. Prignitz
0049 33984*;Blumenthal b. Pritzwalk
0049 33986*;Falkenhagen Kr. Prignitz
0049 33989*;Sadenbeck
0049 340*;Dessau Anh
0049 341*;Leipzig
0049 34202*;Delitzsch
0049 34203*;Zwenkau
0049 34204*;Schkeuditz
0049 34205*;Markranstädt
0049 34206*;Rötha
0049 34207*;Zwochau
0049 34208*;Löbnitz
0049 3421*;Torgau
0049 34221*;Gneisenaustadt Schildau
0049 34222*;Arzberg
0049 34223*;Dommitzsch
0049 34224*;Belgern
0049 3423*;Eilenburg
0049 34241*;Jesewitz
0049 34242*;Hohenpriessnitz
0049 34243*;Bad Düben
0049 34244*;Mockrehna
0049 3425*;Wurzen
0049 34261*;Kühren
0049 34262*;Falkenhain
0049 34263*;Großzschepa
0049 34291*;Borsdorf
0049 34292*;Brandis
0049 34293*;Naunhof
0049 34294*;Rackwitz
0049 34295*;Krensitz
0049 34296*;Groitzsch
0049 34297*;Liebertwolkwitz
0049 34298*;Taucha
0049 34299*;Gaschwitz
0049 3431*;Döbeln
0049 34321*;Leisnig
0049 34322*;Roßwein
0049 34324*;Ostrau Sachs
0049 34325*;Lüttewitz
0049 34327*;Waldheim
0049 34328*;Hartha
0049 3433*;Borna
0049 34341*;Geithain
0049 34342*;Neukieritzsch
0049 34343*;Regis-Breitingen
0049 34344*;Kohren-Sahlis
0049 34345*;Bad Lausick
0049 34346*;Narsdorf
0049 34347*;Oelzschau
0049 34348*;Frohburg
0049 3435*;Oschatz
0049 34361*;Dahlen
0049 34362*;Mügeln
0049 34363*;Cavertitz
0049 34364*;Wermsdorf
0049 3437*;Grimma
0049 34381*;Colditz
0049 34382*;Nerchau
0049 34383*;Trebsen
0049 34384*;Großbothen
0049 34385*;Mutzschen
0049 34386*;Dürrweitzschen
0049 3441*;Zeitz
0049 34422*;Osterfeld
0049 34423*;Heuckewalde
0049 34424*;Reuden b. Zeitz
0049 34425*;Droyßig
0049 34426*;Kayna
0049 3443*;Weißenfels Sachs-Anh
0049 34441*;Hohenmölsen
0049 34443*;Teuchern
0049 34444*;Lützen
0049 34445*;Stößen
0049 34446*;Großkorbetha
0049 3445*;Naumburg Saale
0049 34461*;Nebra Unstrut
0049 34462*;Laucha Unstrut
0049 34463*;Bad Kösen
0049 34464*;Freyburg Unstrut
0049 34465*;Bad Bibra
0049 34466*;Janisroda
0049 34467*;Eckartsberga
0049 3447*;Altenburg
0049 3448*;Meuselwitz
0049 34491*;Schmölln Bz Leipzig
0049 34492*;Lucka
0049 34493*;Gößnitz
0049 34494*;Ehrenhain
0049 34495*;Dobitschen
0049 34496*;Nöbdenitz
0049 34497*;Langenleuba-Niederhain
0049 34498*;Rositz
0049 345*;Halle (Saale)
0049 34600*;Ostrau Saalkreis
0049 34601*;Teutschenthal
0049 34602*;Landsberg Sachs-Anh
0049 34603*;Nauendorf Sachs-Anh
0049 34604*;Niemberg
0049 34605*;Gröbers
0049 34606*;Teicha Sachs-Anh
0049 34607*;Wettin
0049 34609*;Salzmünde
0049 3461*;Merseburg Saale
0049 3462*;Bad Dürrenberg
0049 34632*;Mücheln Geiseltal
0049 34633*;Braunsbedra
0049 34635*;Bad Lauchstädt
0049 34636*;Schafstädt
0049 34637*;Frankleben
0049 34638*;Zöschen
0049 34639*;Wallendorf Luppe
0049 3464*;Sangerhausen
0049 34651*;Roßla
0049 34652*;Allstedt
0049 34653*;Rottleberode
0049 34654*;Stolberg Harz
0049 34656*;Wallhausen Sachsen-Anhalt
0049 34658*;Hayn Harz
0049 34659*;Blankenheim b. Sangerhausen
0049 3466*;Artern
0049 34671*;Bad Frankenhausen
0049 34672*;Roßleben
0049 34673*;Heldrungen
0049 34691*;Könnern
0049 34692*;Alsleben Saale
0049 3471*;Bernburg Saale
0049 34721*;Nienburg Saale
0049 34722*;Preußlitz
0049 3473*;Aschersleben Sachs-Anhalt
0049 34741*;Frose
0049 34742*;Sylda
0049 34743*;Ermsleben
0049 34745*;Winningen Sachs-Anhalt
0049 34746*;Giersleben
0049 3475*;Lutherstadt Eisleben
0049 3476*;Hettstedt Sachs-Anhalt
0049 34771*;Querfurt
0049 34772*;Helbra
0049 34773*;Schwittersdorf
0049 34774*;Röblingen am See
0049 34775*;Wippra
0049 34776*;Rothenschirmbach
0049 34779*;Abberode
0049 34781*;Greifenhagen
0049 34782*;Mansfeld Südharz
0049 34783*;Gerbstedt
0049 34785*;Sandersleben
0049 34901*;Roßlau Elbe
0049 34903*;Coswig Anhalt
0049 34904*;Oranienbaum
0049 34905*;Wörlitz
0049 34906*;Raguhn
0049 34907*;Jeber-Bergfrieden
0049 34909*;Aken Elbe
0049 3491*;Lutherstadt Wittenberg
0049 34920*;Kropstädt
0049 34921*;Kemberg
0049 34922*;Mühlanger
0049 34923*;Cobbelsdorf
0049 34924*;Zahna
0049 34925*;Bad Schmiedeberg
0049 34926*;Pretzsch Elbe
0049 34927*;Globig-Bleddin
0049 34928*;Seegrehna
0049 34929*;Straach
0049 3493*;Bitterfeld
0049 3494*;Wolfen
0049 34953*;Gräfenhainichen
0049 34954*;Roitzsch b. Bitterfeld
0049 34955*;Gossa
0049 34956*;Zörbig
0049 3496*;Köthen Anhalt
0049 34973*;Osternienburg
0049 34975*;Görzig Kr. Köthen
0049 34976*;Gröbzig
0049 34977*;Quellendorf
0049 34978*;Radegast Kr. Köthen
0049 34979*;Wulfen Sachs-Anhalt
0049 3501*;Pirna
0049 35020*;Struppen
0049 35021*;Königstein
0049 35022*;Bad Schandau
0049 35023*;Bad Gottleuba
0049 35024*;Stadt Wehlen
0049 35025*;Liebstadt
0049 35026*;Dürröhrsdorf
0049 35027*;Weesenstein
0049 35028*;Krippen
0049 35032*;Langenhennersdorf
0049 35033*;Rosenthal
0049 3504*;Dippoldiswalde
0049 35052*;Kipsdorf
0049 35053*;Glashütte
0049 35054*;Lauenstein
0049 35055*;Höckendorf
0049 35056*;Altenberg Sachs
0049 35057*;Hermsdorf
0049 35058*;Pretzschendorf
0049 351*;Dresden
0049 35200*;Arnsdorf
0049 35201*;Langebrück
0049 35202*;Pretzschendorf
0049 35203*;Tharandt
0049 35204*;Wilsdruff
0049 35205*;Ottendorf-Okrilla
0049 35206*;Kreischa
0049 35207*;Moritzburg
0049 35208*;Radeburg
0049 35209*;Mohorn
0049 3521*;Meißen
0049 3522*;Großenhain
0049 3523*;Coswig Bz Dresden
0049 35240*;Tauscha
0049 35241*;Lommatzsch
0049 35242*;Nossen
0049 35243*;Weinböhla
0049 35244*;Krögis
0049 35245*;Burkhardswalde
0049 35246*;Ziegenhain Sachs
0049 35247*;Zehren Sachs
0049 35248*;Schönfeld
0049 35249*;Baßlitz
0049 3525*;Riesa
0049 35263*;Gröditz
0049 35264*;Strehla
0049 35265*;Glaubitz
0049 35266*;Heyda
0049 35267*;Diesbar-Seußlitz
0049 35268*;Stauchitz
0049 3528*;Radeberg
0049 3529*;Heidenau
0049 3531*;Finsterwalde
0049 35322*;Doberlug-Kirchhain
0049 35323*;Sonnewalde
0049 35324*;Crinitz
0049 35325*;Rückersdorf
0049 35326*;Schönborn
0049 35327*;Prießen
0049 35329*;Dollenchen
0049 3533*;Elsterwerda
0049 35341*;Bad Liebenwerda
0049 35342*;Mühlberg
0049 35343*;Hirschfeld
0049 3535*;Herzberg Elster
0049 35361*;Schlieben
0049 35362*;Schönewalde
0049 35363*;Fermerswalde
0049 35364*;Lebusa
0049 35365*;Falkenberg Elster
0049 3537*;Jessen Elster
0049 35383*;Elster Elbe
0049 35384*;Steinsdorf b. Jessen
0049 35385*;Annaburg
0049 35386*;Prettin
0049 35387*;Seyda
0049 35388*;Klöden
0049 35389*;Holzdorf Elster
0049 3541*;Calau
0049 3542*;Lübbenau
0049 35433*;Vetschau
0049 35434*;Altdöbern
0049 35435*;Gollmitz
0049 35436*;Laasow
0049 35439*;Zinnitz
0049 3544*;Luckau
0049 35451*;Dahme
0049 35452*;Golßen
0049 35453*;Drahnsdorf
0049 35454*;Uckro
0049 35455*;Walddrehna
0049 35456*;Terpt
0049 3546*;Lübben
0049 35471*;Birkenhainichen
0049 35472*;Schlepzig
0049 35473*;Neu Lübbenau
0049 35474*;Schönwalde
0049 35475*;Straupitz
0049 35476*;Wittmannsdorf
0049 35477*;Rietzneuendorf
0049 35478*;Goyatz
0049 355*;Cottbus
0049 35600*;Döbern
0049 35601*;Peitz
0049 35602*;Drebkau
0049 35603*;Burg Spreew
0049 35604*;Krieschow
0049 35605*;Komptendorf
0049 35606*;Briesen ü Cottbus
0049 35607*;Jänschwalde
0049 35608*;Groß Oßnig
0049 35609*;Drachhausen
0049 3561*;Guben
0049 3562*;Forst
0049 3563*;Spremberg
0049 3564*;Schwarze Pumpe
0049 35691*;Bärenklau
0049 35692*;Kerkwitz
0049 35693*;Lauschütz
0049 35694*;Gosda
0049 35695*;Simmersdorf
0049 35696*;Briesnig
0049 35697*;Bagenz
0049 35698*;Hornow
0049 3571*;Hoyerswerda
0049 35722*;Lauta
0049 35723*;Bernsdorf
0049 35724*;Lohsa
0049 35725*;Wittichenau
0049 35726*;Großsärchen
0049 35727*;Burghammer
0049 35728*;Uhyst
0049 3573*;Senftenberg
0049 3574*;Lauchhammer
0049 35751*;Welzow
0049 35752*;Ruhland
0049 35753*;Großräschen
0049 35754*;Klettwitz
0049 35755*;Ortrand
0049 35756*;Hosena
0049 3576*;Weißwasser
0049 35771*;Bad Muskau
0049 35772*;Rietschen
0049 35773*;Schleife
0049 35774*;Boxberg
0049 35775*;Pechern
0049 3578*;Kamenz
0049 35792*;Oßling
0049 35793*;Elstra
0049 35795*;Königsbrück
0049 35796*;Panschwitz-Kuckau
0049 35797*;Schwepnitz
0049 3581*;Görlitz
0049 35820*;Zodel
0049 35822*;Hagenwerder
0049 35823*;Ostritz
0049 35825*;Kodersdorf
0049 35826*;Königshain
0049 35827*;Nieder Seifersdorf
0049 35828*;Reichenbach
0049 35829*;Gersdorf
0049 3583*;Zittau
0049 35841*;Großschönau
0049 35842*;Niederoderwitz
0049 35843*;Hirschfelde
0049 35844*;Oybin
0049 3585*;Löbau
0049 3586*;Neugersdorf
0049 35872*;Neusalza-Spremberg
0049 35873*;Herrnhut
0049 35874*;Bernstadt
0049 35875*;Obercunnersdorf
0049 35876*;Weißenberg
0049 35877*;Cunewalde
0049 3588*;Niesky
0049 35891*;Rothenburg Ol
0049 35892*;Horka
0049 35893*;Mücka
0049 35894*;Hähnichen
0049 35895*;Klitten
0049 3591*;Bautzen
0049 3592*;Kirschau
0049 35930*;Seitschen
0049 35931*;Königswartha
0049 35932*;Guttau
0049 35933*;Neschwitz
0049 35934*;Großdubrau
0049 35935*;Kleinwelka
0049 35936*;Sohland
0049 35937*;Prischwitz
0049 35938*;Großpostwitz
0049 35939*;Pommritz
0049 3594*;Bischofswerda
0049 35951*;Neukirch
0049 35952*;Großröhrsdorf
0049 35953*;Burkau
0049 35954*;Großhartau
0049 35955*;Pulsnitz
0049 3596*;Neustadt Sachs
0049 35971*;Sebnitz
0049 35973*;Stolpen
0049 35974*;Hinterhermsdorf
0049 35975*;Hohnstein
0049 3601*;Mühlhausen
0049 36020*;Ebeleben
0049 36021*;Schlotheim
0049 36022*;Großengottern
0049 36023*;Horsmar
0049 36024*;Diedorf
0049 36025*;Körner
0049 36026*;Struth
0049 36027*;Lengenfeld unterm Stein
0049 36028*;Kammerforst
0049 36029*;Menteroda
0049 3603*;Bad Langensalza
0049 36041*;Bad Tennstedt
0049 36042*;Tonna
0049 36043*;Kirchheiligen
0049 3605*;Leinefelde
0049 3606*;Heiligenstadt
0049 36071*;Teistungen
0049 36072*;Weißenborn-Lüderode
0049 36074*;Worbis
0049 36075*;Dingelstädt
0049 36076*;Niederorschel
0049 36077*;Großbodungen
0049 36081*;Arenshausen
0049 36082*;Ershausen
0049 36083*;Uder
0049 36084*;Heuthen
0049 36085*;Reinholterode
0049 36087*;Wüstheuterode
0049 361*;Erfurt
0049 36200*;Elxleben/Steiger
0049 36201*;Walschleben
0049 36202*;Neudietendorf
0049 36203*;Vieselbach
0049 36204*;Stotternheim
0049 36205*;Gräfenroda
0049 36206*;Großfahner
0049 36207*;Plaue
0049 36208*;Ermstedt
0049 36209*;Klettbach
0049 3621*;Gotha
0049 3622*;Waltershausen
0049 3623*;Friedrichroda
0049 3624*;Ohrdruf
0049 36252*;Tambach-Dietharz
0049 36253*;Georgenthal
0049 36254*;Friedrichswerth
0049 36255*;Goldbach
0049 36256*;Wechmar
0049 36257*;Luisenthal
0049 36258*;Friemar
0049 36259*;Tabarz
0049 3628*;Arnstadt
0049 3629*;Stadtilm
0049 3631*;Nordhausen
0049 3632*;Sondershausen
0049 36330*;Grossberndten
0049 36331*;Ilfeld
0049 36332*;Ellrich
0049 36333*;Heringen
0049 36334*;Wolkramshausen
0049 36335*;Großwechsungen
0049 36336*;Klettenberg
0049 36337*;Schiedungen
0049 36338*;Bleicherode
0049 3634*;Sömmerda
0049 3635*;Kölleda
0049 3636*;Greußen
0049 36370*;Großenehrich
0049 36371*;Schloßvippach
0049 36372*;Kleinneuhausen
0049 36373*;Buttstädt
0049 36374*;Weißensee
0049 36375*;Kindelbrück
0049 36376*;Straußfurt
0049 36377*;Rastenberg
0049 36378*;Ostramonda
0049 36379*;Holzengel
0049 3641*;Jena
0049 36421*;Camburg
0049 36422*;Reinstädt
0049 36423*;Orlamünde
0049 36424*;Kahla
0049 36425*;Isserstedt
0049 36426*;Ottendorf
0049 36427*;Dornburg (Saale)
0049 36428*;Stadtroda
0049 3643*;Weimar
0049 3644*;Apolda
0049 36450*;Kranichfeld
0049 36451*;Buttelstedt
0049 36452*;Berlstedt
0049 36453*;Mellingen
0049 36454*;Magdala
0049 36458*;Bad Berka
0049 36459*;Blankenhain
0049 36461*;Bad Sulza
0049 36462*;Oßmannstedt
0049 36463*;Gebstedt
0049 36464*;Wormstedt
0049 36465*;Oberndorf
0049 3647*;Pößneck
0049 36481*;Neustadt/Orla
0049 36482*;Triptis
0049 36483*;Ziegenrück
0049 36484*;Knau
0049 365*;Gera
0049 36601*;Hermsdorf Thür
0049 36602*;Ronneburg
0049 36603*;Weida
0049 36604*;Münchenbernsdorf
0049 36605*;Bad Köstritz
0049 36606*;Kraftsdorf
0049 36607*;Niederpöllnitz
0049 36608*;Seelingstädt
0049 3661*;Greiz
0049 36621*;Elsterberg
0049 36622*;Triebes
0049 36623*;Berga
0049 36624*;Teichwolframsdorf
0049 36625*;Langenwetzendorf
0049 36626*;Auma
0049 36628*;Zeulenroda
0049 3663*;Schleiz
0049 36640*;Remptendorf
0049 36642*;Harra
0049 36643*;Thimmendorf
0049 36644*;Hirschberg
0049 36645*;Mühltroff
0049 36646*;Tanna
0049 36647*;Saalburg
0049 36648*;Dittersdorf
0049 36649*;Gefell
0049 36651*;Lobenstein
0049 36652*;Wurzbach
0049 36653*;Lehesten
0049 36691*;Eisenberg
0049 36692*;Bürgel
0049 36693*;Crossen
0049 36694*;Schkölen
0049 36695*;Söllmnitz
0049 36701*;Lichte
0049 36702*;Lauscha
0049 36703*;Gräfenthal
0049 36704*;Steinheid
0049 36705*;Oberweißbach
0049 3671*;Saalfeld
0049 3672*;Rudolstadt
0049 36730*;Sitzendorf
0049 36731*;Unterloquitz
0049 36732*;Könitz
0049 36733*;Kaulsdorf
0049 36734*;Leutenberg
0049 36735*;Probstzella
0049 36736*;Arnsgereuth
0049 36737*;Drognitz
0049 36738*;Königsee
0049 36739*;Rottenbach
0049 36741*;Bad Blankenburg
0049 36742*;Uhlstädt
0049 36743*;Teichel
0049 36744*;Remda
0049 3675*;Sonneberg
0049 36761*;Heubisch
0049 36762*;Steinach
0049 36764*;Neuhaus-Schierschnitz
0049 36766*;Schalkau
0049 3677*;Ilmenau
0049 36781*;Großbreitenbach
0049 36782*;Schmiedefeld
0049 36783*;Gehren
0049 36784*;Stützerbach
0049 36785*;Gräfinau-Angstedt
0049 3679*;Neuhaus a. Rennweg
0049 3681*;Suhl
0049 3682*;Zella-Mehlis
0049 3683*;Schmalkalden
0049 36840*;Trusetal
0049 36841*;Schleusingen
0049 36842*;Oberhof
0049 36843*;Benshausen
0049 36844*;Rohr
0049 36845*;Gehlberg
0049 36846*;Dietzhausen
0049 36847*;Steinbach-Hallenberg
0049 36848*;Wernshausen
0049 36849*;Kleinschmalkalden
0049 3685*;Hildburghausen
0049 3686*;Eisfeld
0049 36870*;Masserberg
0049 36871*;Bad Colberg
0049 36873*;Themar
0049 36874*;Schönbrunn bei Hildburghausen
0049 36875*;Straufhain
0049 36878*;Oberland
0049 3691*;Eisenach
0049 36920*;Großenlupnitz
0049 36921*;Wutha-Farnroda
0049 36922*;Gerstungen
0049 36923*;Treffurt
0049 36924*;Mihla
0049 36925*;Marksuhl
0049 36926*;Creuzburg
0049 36927*;Unterellen
0049 36928*;Neuenhof
0049 36929*;Ruhla
0049 3693*;Meiningen
0049 36940*;Oepfershausen
0049 36941*;Wasungen
0049 36943*;Bettenhausen
0049 36944*;Rentwertshausen
0049 36945*;Henneberg
0049 36946*;Erbenhausen
0049 36947*;Jüchsen
0049 36948*;Römhild
0049 36949*;Obermaßfeld-Grimmenthal
0049 3695*;Bad Salzungen
0049 36961*;Bad Liebenstein
0049 36962*;Vacha
0049 36963*;Dorndorf
0049 36964*;Dermbach Rhön
0049 36965*;Stadtlengsfeld
0049 36966*;Kaltennordheim
0049 36967*;Geisa
0049 36968*;Roßdorf Rhön
0049 36969*;Merkers
0049 371*;Chemnitz
0049 37200*;Wittgensdorf
0049 37202*;Claußnitz
0049 37203*;Gersdorf b. Hohenst-Ernstt
0049 37204*;Lichtenstein
0049 37206*;Frankenberg
0049 37207*;Hainichen
0049 37208*;Auerswalde
0049 37209*;Einsiedel
0049 3721*;Meinersdorf
0049 3722*;Limbach-Oberfrohna
0049 3723*;Hohenstein-Ernstthal
0049 3724*;Burgstädt
0049 3725*;Zschopau
0049 3726*;Flöha
0049 3727*;Mittweida
0049 37291*;Augustusburg
0049 37292*;Oederan
0049 37293*;Eppendorf
0049 37294*;Grünhainichen
0049 37295*;Lugau
0049 37296*;Stollberg Erzgeb
0049 37297*;Thum
0049 37298*;Oelsnitz Erzgeb
0049 3731*;Freiberg
0049 37320*;Mulda
0049 37321*;Frankenstein
0049 37322*;Brand-Erbisdorf
0049 37323*;Lichtenberg
0049 37324*;Reinsberg
0049 37325*;Niederbobritzsch
0049 37326*;Frauenstein
0049 37327*;Rechenberg-Bienenmühle
0049 37328*;Großschirma
0049 37329*;Großhartmannsdorf
0049 3733*;Annaberg-Buchholz
0049 37341*;Ehrenfriedersdorf
0049 37342*;Cranzahl
0049 37343*;Jöhstadt
0049 37344*;Crottendorf
0049 37346*;Geyer
0049 37347*;Bärenstein
0049 37348*;Oberwiesenthal
0049 37349*;Scheibenberg
0049 3735*;Marienberg
0049 37360*;Olbernhau
0049 37361*;Neuhausen Erzgeb
0049 37362*;Seiffen
0049 37363*;Zöblitz
0049 37364*;Reitzenhain Erzgeb
0049 37365*;Sayda
0049 37366*;Rübenau
0049 37367*;Lengefeld
0049 37368*;Deutschneudorf
0049 37369*;Wolkenstein
0049 3737*;Rochlitz
0049 37381*;Penig
0049 37382*;Geringswalde
0049 37383*;Lunzenau
0049 37384*;Wechselburg
0049 3741*;Plauen
0049 37421*;Oelsnitz Vogtl
0049 37422*;Markneukirchen
0049 37423*;Adorf
0049 37430*;Eichigt
0049 37431*;Mehltheuer
0049 37432*;Pausa
0049 37433*;Gutenfürst
0049 37434*;Bobenneukirchen
0049 37435*;Reuth
0049 37436*;Weischlitz
0049 37437*;Bad Elster
0049 37438*;Bad Brambach
0049 37439*;Jocketa
0049 3744*;Auerbach
0049 3745*;Falkenstein
0049 37462*;Rothenkirchen
0049 37463*;Bergen b. Auerbach
0049 37464*;Schöneck
0049 37465*;Tannenbergsthal
0049 37467*;Klingenthal
0049 37468*;Treuen
0049 375*;Zwickau
0049 37600*;Neumark
0049 37601*;Mülsen St. Jacob
0049 37602*;Kirchberg
0049 37603*;Wildenfels
0049 37604*;Mosel
0049 37605*;Hartenstein
0049 37606*;Lengenfeld
0049 37607*;Ebersbrunn
0049 37608*;Waldenburg
0049 37609*;Wolkenburg
0049 3761*;Werdau
0049 3762*;Crimmitschau
0049 3763*;Glauchau
0049 3764*;Meerane
0049 3765*;Reichenbach Vogtl
0049 3771*;Aue
0049 3772*;Schneeberg
0049 3773*;Johanngeorgenstadt
0049 3774*;Schwarzenberg
0049 37752*;Eibenstock
0049 37754*;Zwönitz
0049 37755*;Schönheide
0049 37756*;Breitenbrunn
0049 37757*;Rittersgrün
0049 381*;Rostock
0049 38201*;Gelbensande
0049 38202*;Volkenshagen
0049 38203*;Bad Doberan
0049 38204*;Broderstorf
0049 38205*;Tessin b. Rostock
0049 38206*;Graal-Müritz/Seeheilbad
0049 38207*;Stäbelow
0049 38208*;Kavelstorf
0049 38209*;Sanitz b. Rostock
0049 3821*;Ribnitz-Damgarten
0049 38220*;Wustrow/Ostseebad
0049 38221*;Marlow
0049 38222*;Semlow
0049 38223*;Saal/Vorpom
0049 38224*;Gresenhorst
0049 38225*;Trinwillershagen
0049 38226*;Dierhagen/Ostseebad
0049 38227*;Lüdershagen b. Barth
0049 38228*;Dettmannsdorf-Kölzow
0049 38229*;Bad Sülze
0049 38231*;Barth
0049 38232*;Zingst a. Darß
0049 38233*;Prerow a. Darß
0049 38234*;Born a. Darß
0049 38292*;Kröpelin
0049 38293*;Kühlungsborn/Ostseebad
0049 38294*;Neubukow
0049 38295*;Satow b. Bad-Doberan
0049 38296*;Rerik/Ostseebad
0049 38297*;Moitin
0049 38300*;Insel Hiddensee
0049 38301*;Putbus
0049 38302*;Sagard
0049 38303*;Sellin/Ostseebad
0049 38304*;Garz/Rügen
0049 38305*;Gingst
0049 38306*;Samtens
0049 38307*;Poseritz
0049 38308*;Göhren/Rügen
0049 38309*;Trent
0049 3831*;Stralsund
0049 38320*;Tribsees
0049 38321*;Martensdorf b. Stralsund
0049 38322*;Richtenberg
0049 38323*;Prohn
0049 38324*;Velgast
0049 38325*;Rolofshagen
0049 38326*;Grimmen
0049 38327*;Elmenhorst/Vorpom
0049 38328*;Miltzow
0049 38331*;Süderholz
0049 38332*;Süderholz
0049 38333*;Horst b. Grimmen
0049 38334*;Grammendorf
0049 3834*;Greifswald
0049 38351*;Mesekenhagen
0049 38352*;Kemnitz b. Greifswald
0049 38353*;Gützkow b. Greifswald
0049 38354*;Wusterhusen
0049 38355*;Züssow
0049 38356*;Behrenhoff
0049 3836*;Wolgast
0049 38370*;Kröslin
0049 38371*;Karlshagen
0049 38372*;Usedom
0049 38373*;Katzow
0049 38374*;Lassan
0049 38375*;Koserow
0049 38376*;Zirchow
0049 38377*;Zinnowitz
0049 38378*;Heringsdorf
0049 38379*;Benz
0049 3838*;Bergen auf Rügen
0049 38391*;Altenkirchen/Rügen
0049 38392*;Sassnitz
0049 38393*;Binz/Ostseebad
0049 3841*;Wismar Meckl
0049 38422*;Neukloster
0049 38423*;Bad Kleinen
0049 38424*;Bobitz
0049 38425*;Kirchdorf
0049 38426*;Neuburg-Steinhausen
0049 38427*;Blowatz
0049 38428*;Hohenkirchen b. Wismar
0049 38429*;Glasin
0049 3843*;Güstrow
0049 3844*;Schwaan
0049 38450*;Tarnow b. Bützow
0049 38451*;Hoppenrade b. Güstrow
0049 38452*;Lalendorf
0049 38453*;Mistorf
0049 38454*;Kritzkow
0049 38455*;Plaaz
0049 38456*;Langhagen b. Güstrow
0049 38457*;Krakow am See
0049 38458*;Zehna
0049 38459*;Laage
0049 38461*;Bützow
0049 38462*;Baumgarten Meckl
0049 38464*;Bernitt
0049 38466*;Jürgenshagen
0049 3847*;Sternberg
0049 38481*;Witzin
0049 38482*;Warin
0049 38483*;Brüel
0049 38484*;Ventschow
0049 38485*;Dabel
0049 38486*;Gustävel
0049 38488*;Demen
0049 385*;Schwerin Meckl
0049 3860*;Raben Steinfeld
0049 3861*;Plate
0049 3863*;Crivitz
0049 3865*;Holthusen
0049 3866*;Cambs
0049 3867*;Lübstorf
0049 3868*;Rastow
0049 3869*;Dümmer
0049 3871*;Parchim
0049 38720*;Grebbin
0049 38721*;Ziegendorf
0049 38722*;Raduhn
0049 38723*;Kladrum
0049 38724*;Siggelkow
0049 38725*;Groß Godems
0049 38726*;Spornitz
0049 38727*;Mestlin
0049 38728*;Domsühl
0049 38729*;Marnitz
0049 38731*;Lübz
0049 38732*;Gallin b. Lübz
0049 38733*;Karbow-Vietlübbe
0049 38735*;Plau
0049 38736*;Goldberg Meckl
0049 38737*;Ganzlin
0049 38738*;Karow b. Lübz
0049 3874*;Ludwigslust Meckl
0049 38750*;Malliß
0049 38751*;Picher
0049 38752*;Zierzow b. Ludwigslust
0049 38753*;Wöbbelin
0049 38754*;Leussow b. Ludwigslust
0049 38755*;Eldena
0049 38756*;Grabow Meckl
0049 38757*;Neustadt-Glewe
0049 38758*;Dömitz
0049 38759*;Tewswoos
0049 3876*;Perleberg
0049 3877*;Wittenberge
0049 38780*;Lanz Brandenb
0049 38781*;Mellen
0049 38782*;Reetz b. Perleberg
0049 38783*;Dallmin
0049 38784*;Kleinow Kr. Prignitz
0049 38785*;Berge b. Perleberg
0049 38787*;Glöwen
0049 38788*;Groß Warnow
0049 38789*;Wolfshagen b. Perleberg
0049 38791*;Bad Wilsnack
0049 38792*;Lenzen Kr. Prignitz
0049 38793*;Dergenthin
0049 38794*;Cumlosen
0049 38796*;Viesecke
0049 38797*;Karstädt Kr. Prignitz
0049 3881*;Grevesmühlen
0049 38821*;Lüdersdorf Meckl
0049 38822*;Diedrichshagen b. Grevesm.
0049 38823*;Selmsdorf
0049 38824*;Mallentin
0049 38825*;Klütz
0049 38826*;Dassow
0049 38827*;Kalkhorst
0049 38828*;Schönberg Meckl
0049 3883*;Hagenow
0049 38841*;Neuhaus Elbe
0049 38842*;Lüttenmark
0049 38843*;Bennin
0049 38844*;Gülze
0049 38845*;Kaarßen
0049 38847*;Boizenburg Elbe
0049 38848*;Vellahn
0049 38850*;Gammelin
0049 38851*;Zarrentin Meckl
0049 38852*;Wittenburg
0049 38853*;Drönnewitz b. Hagenow
0049 38854*;Redefin
0049 38855*;Lübtheen
0049 38856*;Pritzier b. Hagenow
0049 38858*;Lassahn
0049 38859*;Alt Zachun
0049 3886*;Gadebusch
0049 38871*;Mühlen Eichsen
